name,category_id,description,price,is_new,is_rentable
'Iron Man',1,'Superhero action from 2008',18.99,0,1
'Slumdog Millionaire',1,'Drama from 2008',14.99,0,1
'Hot Fuzz',1,'Action comedy from 2007',12.99,0,1
'Star Wars: The Force Awakens',1,'Sci-fi adventure from 2015',21.99,0,1
'Her',1,'Sci-fi drama from 2013',14.99,0,1
'The Lego Movie',1,'Animated comedy from 2014',12.99,0,1
'Fury',1,'War action from 2014',18.99,0,1
'Room',1,'Drama from 2015',14.99,0,1
'Shaun of the Dead',1,'Zombie comedy from 2004',11.99,0,1
'Edge of Tomorrow',1,'Sci-fi action from 2014',19.99,0,1
'The Fighter',1,'Sports drama from 2010',14.99,0,1
'In Bruges',1,'Dark comedy from 2008',12.99,0,1
'Thor: Ragnarok',1,'Superhero comedy from 2017',20.99,0,1
'Manchester by the Sea',1,'Drama from 2016',14.99,0,1
'The Hangover Part II',1,'Comedy sequel from 2011',12.99,0,1
'Casino Royale',1,'Action thriller from 2006',18.99,0,1
'Life of Pi',1,'Adventure drama from 2012',15.99,0,1
'Zombieland',1,'Zombie comedy from 2009',12.99,0,1
'The Matrix Reloaded',1,'Sci-fi action from 2003',17.99,0,1
'Django Unchained',1,'Western drama from 2012',16.99,0,1
'Superbad 2',1,'Fictional comedy sequel',13.99,0,0
'Barbie',1,'Fantasy adventure from 2023',24.99,1,1
'Oppenheimer',1,'Historical drama from 2023',25.99,1,1
'Dune: Part Two',1,'Sci-fi epic from 2024',26.99,1,1
'Poor Things',1,'Sci-fi drama from 2023',23.99,1,1
'Wonka',1,'Family comedy from 2023',22.99,1,1
'Mission: Impossible – Dead Reckoning',1,'Action thriller from 2023',25.99,1,1
'The Holdovers',1,'Comedy-drama from 2023',22.99,1,1
'Spider-Man: Across the Spider-Verse',1,'Animated action from 2023',24.99,1,1
'The Zone of Interest',1,'Historical drama from 2023',23.99,1,0
